finding_id,issue_title,unit,program,year,cause_category,cause_detail,issue_detail,recommendation,outcomes_impact,sim_score,score
FL-0001,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,กรมที่ดิน,การดูดทรายในที่ดินของรัฐ แม่น้ำโขง,2560,,"ระเบียบกระทรวงมหาดไทย ว่าด้วยการอนุญาตให้ดูดทราย พ.ศ. 2546 ให้สอดคล้องกับ
สถานการณ์ปัจจุบัน รวมทั้งยังไม่มีการพิจารณาข้อมูลและสถานการณ์ปัจจุบัน 
โดยส่วนมากยังคงใช้ตามอัตราเดิมที่ค่อนข้างต่ำและไม่เหมาะสม
","การจัดเก็บรายได้จากการอนุญาตดูดทรายไม่สอดคล้องกับปริมาณทรายที่ผู้ประกอบการ
ดำเนินการดูดได้ และการกำหนดอัตราค่าตอบแทนจากการดูดทรายไม่เหมาะสม
","1.ให้รัฐมนตรีว่าการกระทรวงมหาดไทย ดังนี้
	1.1 พิจารณาทบทวนปรับปรุงระเบียบกระทรวงมหาดไทย ว่าด้วยการอนุญาตให้
ดูดทราย พ.ศ. 2546 ให้สอดคล้องกับสถานการณ์ปัจจุบัน
		1.1.1 กำหนดวิธีการควบคุมปริมาณทรายที่ผู้ประกอบการดำเนินการ
ได้จริงให้เป็นไปตามปริมาณทรายที่ได้ร","ส่งผลให้รัฐสูญเสียทรัพยากรธรรมชาติเกินกว่าที่อนุญาตไว้ และผู้ประกอบการได้
ประโยชน์จากปริมาณส่วนเกินจากที่ได้รับอนุญาต โดยคิดมูลค่าทรายจากปริมาณส่วนเกิน
ที่ผู้ประกอบการจำหน่ายได้เป็นเงินประมาณ 81,196,250.00 บาท และกรวดเป็นเงินประมาณ
47,806,240.00 บาท รวมทั",,
FL-0002,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,กรุงเทพมหานคร,การตรวจสอบการดำเนินงานการบังคับใช้กฎหมายควบคุมอาคารในเขตกรุงเทพมหานคร,2560,,"กทม. 
ยังไม่มีมาตรการดำเนินการกับเจ้าของอาคารที่ประกอบการโรงภาพยนต์ที่เพิกเฉย
ไม่ดำเนินการแก้ไขให้เป็นไปตามกฎหมาย

","ระบบป้องกันอัคคีภัยในอาคารโรงภาพยนต์ทั้ง 330 โรง หรือคิดเป็นร้อยละ 100 
ของโรงภาพยนต์ทั้งหมดในพื้นที่ กทม. ไม่เป็นไปตามที่กฎหมายกำหนด 
โดยมีอุปกรณ์ประกอบอาคารไม่เป็นไปตามที่กฎหมายกำหนด คือ บานประตูทำจากไม้ 
ป้ายบอกทางมองไม่ชัดเจน ไม่ครอบคลุมทั่วพื้นที่ จา","พิจารณาดำเนินการ กำหนดมาตรการ และดำเนินการให้เป็นไปตามกฎหมายอย่างเคร่งครัด
กับเจ้าของอาคารที่ประกอบการโรงภาพยนต์ที่เพิกเฉยไม่ดำเนินการแก้ไขให้เป็นไปตาม
กฎหมาย

","ก่อให้เกิดความเสี่ยงที่อาจเกิดความไม่ปลอดภัยในชีวิตแล้ทรัพย์สิยของประชาชน
ที่ใช้บริการ 

",,
FL-0003,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,กองทุนฟื้นฟูและพัฒนาเกษตรกร,การตรวจสอบการบริหารจัดการหนี้สินเกษตรกร,2557,,"1. เกิดจากคณะกรรมการจัดการหนี้ของเกษตรกร 
มีความพยายามที่เพิ่มอำนาจขอบเขตในการรับซื้อหนี้ให้ครอบคลุมหนี้ทุกประเภททั้งใน
ระบบและนอกระบบ
2. หลักเกณฑ์การพิจารณาอุทธรณ์ของกองทุนฟื้นฟูฯ กำหนดกรอบค่อนข้างกว้าง 
ขาดหลักเกณฑ์ที่ชัดเจน ไม่พบว่ามีกระบวนการไต่สวน

","การจัดการหนี้ของเกษตรกรบางส่วนไม่สอดคล้องตามพระราชบัญญัติกองทุนฟื้นฟูและพัฒนา
เกษตรกร พ.ศ. 2542 และที่แก้ไขเพิ่มเติม
","สำนักงานการตรวจเงินแผ่นดินมีข้อเสนอแนะให้ กฟก. 
ต้องพิจารณาจัดการแก้ไขปัญหาหนี้เกษตรกรให้เป็นไปตามเจตนารมณ์ในการจัดการหนี้ 
ตามนัยพระราชบัญญัติกองทุนฟื้นฟูฯ 
ที่ต้องการช่วยเหลือหนี้ที่มีการกู้ยืมไปเพื่อทำการเกษตรกรรมเท่านั้น ดังนั้น 
กฟก. จึงต้องยึดถือตาม","การที่กองทุนฟื้นฟูฯ 
ดำเนินการจัดการหนี้เกษตรกรที่ไม่ได้มีวัตถุประสงค์เพื่อการเกษตรทำให้เกษตรกรบาง
รายที่มีหนี้สินจากการเกษตรซึ่งเป็นกลุ่มเป้าหมายที่แท้จริงเสียโอกาสที่จะได้รับ
การจัดการหนี้และต้องประสบปัญหาหนี้สินต่อไป 
เนื่องจากเงินงบประมาณที่ใช้ในการจั",,
FL-0004,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.ข้าวงาม,ตรวจสอบ อบต.อย่างครบวงจร - อบต.ข้าวงาม,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชนผู้มีหน้าที่เสียภาษี
ไม่ให้ความร่วมมือเท่าที่ควร

",การจัดเก็บรายได้ยังไม่ถูกต้อง ครบถ้วน และไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1.  ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการ
    ชำระภาษีเพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2.  ควรจัดให้มีคู่มือการจัดเก็บภาษี

","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตนเอง และจัดการบริการสาธารณะ
แก่ประชาชน และพัฒนาท้องถิ่น

",,
FL-0005,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.โผงเผง,ตรวจสอบ อบต.อย่างครบวงจร - อบต.โผงเผง,2543,,"ประชาชนมีรายได้ลดลง
",มีการจัดเก็บรายได้ไม่เป็นไปตามกฎหมาย,,"ทำให้รายได้ของ อบต.ลดลง
",,
FL-0006,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.สนับทึบ,ตรวจสอบ อบต.อย่างครบวงจร - อบต.สนับทึบ,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชนผู้มีหน้าที่เสีย
ภาษีไม่ให้ความร่วมมือเท่าที่ควร

",การจัดเก็บรายได้ยังไม่ถูกต้อง ครบถ้วนและไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1.  ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการ
    ชำระภาษีเพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2.  ควรจัดให้มีคู่มือการจัดเก็บภาษี

","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตนเอง และจัดการบริการสาธารณะ
แก่ประชาชน และพัฒนาท้องถิ่น


",,
FL-0007,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.บ่อโพง,ตรวจสอบ อบต.อย่างครบวงจร - อบต.บ่อโพง,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชนผู้มีหน้าท่เสียภาษี
ไม่ให้ความร่วมมือเท่าที่ควร

",การจัดเก็บรายได้ยังไม่ถูกต้อง ครบถ้วนและไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1.  ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการชำระ
    ภาษีเพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2.  ควรจัดให้มีคู่มือการจัดเก็บภาษี

","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตนเอง และจัดการบริการสาธารณะ
แก่ประชาชน และพัฒนาท้องถิ่น

",,
FL-0008,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.เขาสามยอด,ตรวจสอบ อบต.อย่างครบวงจร - อบต.เขาสามยอด,2543,,"เนื่องจากมีคำสั่งของ อบต.แบ่งไม่ชัดเจนและเจ้าหน้าที่ไม่มีความรู้
",ด้านการบริหารการจัดเก็บรายได้มีการแบ่งหน้าที่ไม่ชัดเจน,"ควรแบ่งแยกหน้าที่ให้ชัดเจนและให้เหมาะสมกับความสำคัญของเจ้าหน้าที่
","ทำให้การจัดเก็บภาษีไม่มีประสิทธิภาพ
",,
FL-0009,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.หันตรา,ตรวจสอบและประเมินผล อบต.อย่างครบวงจร - อบต.หันตรา,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชน
ผู้มีหน้าที่เสียภาษีไม่ให้ความร่วมมือเท่าที่ควร


",การจัดเก็บรายได้ยังไม่ถูกต้อง ครบถ้วนและไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1. ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการชำระภาษี
   เพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2. ควรจัดให้มีคู่มือการจัดเก็บภาษี

","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตนเอง และจัดการบริการสาธาณะแก่ประชาชน
และพัฒนาท้องถิ่น

",,
FL-0010,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.เสนา,ตรวจสอบ อบต.อย่างครบวงจร - อบต.เสนา,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชนผู้มีหน้าที่เสียภาษีไม่ให้ความร่วมมือเท่าที่ควร


",การจัดเก็บรายได้ยังไม่ถูกต้อง ควบถ้วน และไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1. ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการชำระภาษี
   เพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2. ควรจัดให้มีคู่มือการจัดเก็บภาษี


","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตัวเอง และจัดการบริการสาธารณะแก่ประชาชน
และพัฒนาท้องถิ่น

",,
